draw	prepare	execute	process
1.29	0.34	4.85	0.79
1.27	0.34	4.55	0.73
1.22	0.43	4.58	0.76
1.26	0.34	4.55	0.76
1.27	0.34	4.55	0.76
1.28	0.43	4.24	0.73
1.17	0.34	4.24	0.73
1.27	0.34	4.18	0.73
1.04	0.34	4.30	0.79
2.20	0.18	7.87	0.58
1.75	0.27	3.91	0.58
2.83	0.21	4.18	0.55
2.84	0.15	3.72	0.61
3.09	0.15	3.81	0.52
2.92	0.15	3.72	0.58
2.81	0.15	3.66	1.10
3.09	0.15	3.78	0.58
2.95	0.15	3.72	0.58
2.78	0.18	3.78	0.55
4.28	0.58	6.90	0.79
3.84	0.24	6.16	0.76
3.88	0.24	5.83	0.79
4.98	0.24	5.77	0.76
3.84	0.24	7.42	0.85
1.98	0.24	5.83	0.89
1.69	0.21	5.62	0.79
1.85	0.18	5.49	0.89
1.92	0.55	5.40	1.01
2.05	0.37	5.40	0.89
1.36	0.37	5.46	0.89
1.37	0.40	5.40	0.92
1.38	0.37	5.55	0.92
1.39	0.40	5.43	0.92
1.40	0.40	5.37	0.92
1.38	0.37	5.49	0.76
1.36	0.37	5.34	0.76
1.46	0.52	7.90	1.01
1.44	0.43	8.58	0.89
1.45	0.40	7.08	0.82
1.50	7.39	6.29	0.98
1.57	0.40	7.60	0.85
1.97	0.21	5.95	0.79
1.98	0.21	5.62	0.73
1.96	0.21	5.52	0.82
1.91	0.21	5.95	0.79
2.29	0.24	5.49	0.82
1.93	0.34	5.98	0.82
1.33	0.37	6.50	0.82
1.65	0.37	5.40	0.82
1.38	0.37	5.40	0.82
1.27	0.37	6.59	0.85
1.74	0.37	8.42	5.62
1.44	0.40	8.09	1.01
1.39	0.40	8.06	0.82
4.39	0.24	5.89	0.89
3.61	0.27	5.62	0.85
3.65	0.24	6.29	1.07
3.72	0.24	5.49	0.76
3.58	0.21	5.55	0.85
3.87	0.21	6.41	0.85
1.43	0.24	5.80	0.85
1.84	0.37	5.92	2.23
1.85	0.37	6.47	0.89
1.59	0.40	4.61	1.95
1.26	0.34	4.76	0.76
1.18	0.31	4.82	0.82
1.16	0.31	5.00	0.73
1.14	0.31	4.61	0.73
1.49	0.31	4.55	0.89
1.19	0.31	4.49	0.76
1.17	0.31	5.04	0.76
1.15	0.34	4.61	0.89
1.59	0.31	4.24	0.79
1.23	0.31	4.21	0.76
1.21	0.31	4.46	0.85
1.04	0.31	4.24	0.73
1.47	0.43	7.93	0.73
1.69	0.15	4.00	0.64
2.46	0.18	3.75	0.64
1.89	0.12	4.03	0.61
2.51	0.18	3.72	0.61
2.74	0.15	3.85	0.55
3.11	0.18	3.72	0.61
2.73	0.15	3.81	0.61
2.92	0.18	3.75	0.61
2.90	0.15	3.75	0.61
2.97	0.15	3.69	0.61
2.98	0.15	3.75	0.58
3.02	0.18	3.72	0.58
3.00	0.18	3.69	0.61
3.19	0.15	4.30	0.58
1.77	0.24	4.55	0.61
1.72	0.21	4.64	0.64
1.67	0.21	5.16	0.64
2.08	0.21	6.04	1.19
1.66	0.15	3.69	0.55
1.61	0.15	3.57	1.07
1.59	0.15	3.51	0.55
1.57	0.15	5.52	0.76
1.85	0.21	5.92	0.73
1.89	0.24	5.71	0.79
2.02	0.27	5.49	0.76
1.82	0.18	5.92	0.73
4.12	0.34	10.47	2.26
2.12	0.34	7.97	0.76
3.90	0.70	5.95	0.73
3.88	0.67	6.10	0.64
1.51	10.41	8.82	1.07
1.42	0.24	5.31	0.55
1.01	0.61	3.60	0.49
0.99	0.55	3.78	0.49
0.97	0.55	4.15	0.46
1.01	0.61	3.51	0.52
1.02	0.61	3.45	0.49
0.97	0.58	3.39	0.95
0.98	0.58	3.51	0.46
0.99	0.58	3.57	0.49
0.97	0.43	3.51	0.85
0.95	0.58	3.39	0.52
0.96	0.61	3.39	0.49
1.00	0.61	4.15	0.58
1.10	0.70	4.15	0.58
1.08	0.76	4.18	0.61
1.06	0.70	4.76	0.55
1.13	0.70	3.88	0.61
1.11	0.79	3.88	0.58
1.00	0.67	4.33	0.52
0.92	0.79	3.88	0.58
2.45	0.40	9.34	0.98
2.16	0.21	5.22	0.70
2.08	0.61	5.28	0.70
2.18	0.61	4.70	0.55
2.07	0.61	5.13	0.64
2.11	0.61	4.85	0.73
2.02	0.55	5.00	0.67
2.68	0.15	3.75	0.61
2.62	0.21	4.52	0.67
2.76	0.18	4.64	0.67
2.77	0.21	5.34	0.67
2.78	0.21	4.79	0.64
2.51	0.21	4.55	0.61
2.46	0.21	6.16	0.82
2.75	0.24	6.59	0.82
1.48	0.24	5.86	0.92
1.36	0.21	5.71	0.70
3.82	0.21	5.49	0.79
1.99	0.37	5.98	0.79
1.70	0.37	5.52	0.89
1.43	0.37	5.43	0.79
1.48	0.37	5.40	0.89
1.39	0.34	5.98	0.89
1.40	0.40	5.43	0.89
1.44	0.37	5.31	0.89
1.36	0.37	5.52	0.89
1.40	0.37	5.80	0.89
1.44	0.37	5.37	0.89
1.49	0.34	7.93	0.79
1.47	0.34	8.58	0.85
1.60	0.43	6.96	1.07
1.52	0.40	5.58	0.61
1.16	0.24	4.36	0.85
0.99	0.27	3.60	0.61
0.91	0.24	3.66	0.58
1.07	0.27	4.21	0.61
1.08	0.27	4.18	0.67
1.09	0.31	4.30	0.67
1.43	0.40	5.43	0.76
1.38	0.37	5.31	0.79
1.39	0.37	5.52	0.85
1.43	0.37	5.52	0.89
1.41	0.37	5.34	0.89
1.39	0.37	5.43	0.89
1.50	0.40	7.45	1.19
1.51	0.37	8.33	1.10
1.55	0.73	6.35	1.01
1.56	0.46	6.56	0.98
1.57	0.40	6.01	0.98
1.24	0.31	4.85	0.79
1.25	0.43	5.04	0.76
1.26	0.31	4.61	0.79
1.25	0.31	4.73	0.73
1.26	0.34	4.76	0.73
1.25	0.34	4.52	0.73
1.23	0.31	4.58	0.76
1.22	0.34	4.79	0.73
1.26	0.31	4.55	0.73
1.28	0.31	4.61	0.76
1.26	0.34	4.67	0.73
1.25	0.31	4.67	0.76
1.26	0.31	4.64	0.73
1.22	0.34	4.79	0.73
1.20	0.34	4.49	0.73
1.25	0.31	4.58	0.73
1.26	0.31	4.58	0.76
1.22	0.31	4.15	0.73
1.23	0.31	4.21	0.76
1.03	0.31	4.18	0.89
1.60	0.21	9.80	0.64
2.50	0.18	4.27	0.61
3.37	0.15	4.30	0.79
2.50	0.15	4.00	0.61
2.42	0.15	4.12	0.61
1.80	0.15	4.21	0.61
1.75	0.15	4.06	0.64
1.73	0.24	4.18	0.61
1.63	0.15	4.12	0.64
1.73	0.15	4.09	0.61
1.78	0.89	4.52	0.61
3.75	0.37	5.65	0.76
3.82	0.21	5.68	0.76
4.33	0.21	5.58	0.76
3.06	1.43	6.65	0.79
3.50	0.24	5.83	0.92
1.60	0.37	5.34	0.92
1.30	0.37	5.43	0.85
1.40	0.37	5.28	0.92
1.35	0.52	5.37	0.85
1.35	0.37	5.37	0.85
1.31	0.37	5.34	0.89
1.32	0.37	5.37	0.82
1.36	0.37	5.43	0.85
1.31	0.37	5.19	0.89
1.32	0.37	5.19	0.82
1.30	0.37	5.31	0.82
1.34	0.40	5.71	0.95
1.54	0.34	8.85	0.82
1.37	0.34	9.00	0.92
2.05	0.27	6.01	0.95
1.57	0.24	5.52	1.01
2.04	0.21	6.07	0.92
1.84	0.37	5.89	0.92
1.94	0.27	5.80	0.70
1.47	0.24	5.92	0.76
1.45	0.24	5.52	0.73
1.52	0.24	5.52	0.67
1.44	0.24	6.01	2.90
1.05	0.21	4.49	1.04
0.97	0.21	4.52	3.81
0.99	0.21	4.55	7.69
0.97	0.18	4.64	5.34
1.01	0.21	4.52	3.75
0.99	0.18	4.55	7.69
0.94	0.21	4.49	1.07
1.07	0.34	3.81	4.43
1.05	0.15	3.69	0.58
1.95	0.15	3.36	0.61
1.75	0.18	3.42	0.58
1.39	0.15	3.45	0.58
0.89	0.40	3.36	0.58
1.95	0.18	7.97	0.98
2.24	0.18	3.97	0.58
1.64	0.18	4.03	0.61
1.77	0.15	4.09	0.58
3.13	0.18	3.78	0.58
2.92	0.15	3.69	0.58
3.03	0.18	3.66	0.55
3.16	0.18	3.72	0.58
3.02	0.15	3.78	0.55
2.91	0.18	5.00	0.58
2.80	0.21	4.55	0.58
2.96	0.18	4.67	0.58
2.94	0.18	4.64	0.55
2.92	0.21	4.70	0.58
1.99	0.15	5.95	0.67
1.73	0.15	4.18	0.67
1.58	0.15	3.51	0.55
1.60	0.15	3.60	0.55
1.58	0.12	3.48	0.55
1.56	0.12	3.94	0.55
2.55	0.24	5.22	0.73
2.13	0.24	5.62	0.79
2.08	0.24	5.71	0.76
2.15	0.24	5.92	0.79
2.13	0.24	5.52	0.79
2.08	0.24	5.58	0.76
2.00	0.21	5.58	0.79
2.20	0.27	7.39	0.92
1.45	0.37	9.19	0.89
1.46	0.40	6.38	0.82
1.50	0.43	5.80	0.82
1.48	0.37	6.77	2.17
